Rank State,%,"#",Rank,State,%,"#"
1 New Jersey,3.47,"239,000",27,Rhode Island,4.66,"39,000"
2 New York,3.63,"558,000",28,Arkansas,4.71,"106,000"
3 Texas,3.66,"756,000",29,Missouri,4.72,"219,000"
4 Florida,3.67,"610,000",30,Maine,4.81,"52,000"
5 Illinois,3.87,"376,000",31,Mississippi,4.82,"107,000"
"",,,,,,
6 Georgia,4.03,"314,000",32,Kansas,4.82,"103,000"
7 Maryland,4.07,"188,000",33,South Carolina,4.90,"189,000"
8 California,4.10,"1,232,000",34,New Hampshire,4.91,"53,000"
9 Michigan,4.13,"319,000",35,Massachusetts,4.92,"268,000"
10 Virginia,4.16,"267,000",36,Wyoming,5.04,"22,000"
11 District of Columbia,4.17,"23,000",37,Delaware,5.06,"38,000"
"29,000  12 Pennsylvania",4.17,"416,000",38,North Dakota,5.11,
13 South Dakota,4.21,"27,000",39,Wisconsin,5.17,"231,000"
14 New Mexico,4.25,"67,000",40,Ohio,5.18,"461,000"
15 Nebraska,4.29,"61,000",41,Montana,5.21,"42,000"
16 Arizona,4.43,"237,000",42,Vermont,5.22,"26,000"
17 Alabama,4.45,"165,000",43,Indiana,5.23,"262,000"
18 Tennessee,4.48,"230,000",44,West Virginia,5.26,"75,000"
19 Connecticut,4.48,"125,000",45,Washington,5.30,"303,000"
20 Oklahoma,4.53,"132,000",46,Oregon,5.36,"175,000"
21 North Carolina,4.57,"358,000",47,Iowa,5.40,"129,000"
"",,,,,,
22 Louisiana,4.57,"159,000",48,Idaho,5.45,"69,000"
23 Minnesota,4.59,"195,000",49,Colorado,5.51,"237,000"
24 Hawaii,4.59,"49,000",50,Alaska,5.85,"31,000"
25 Kentucky,4.65,"157,000",51,Utah,6.47,"141,000"
26 Nevada,4.65,"107,000",,National,4.34,"10,770,000"
reporting serious thoughts of
suicide is 4.34 percent. The
estimated number of adults with
