Rank State,%,"#",Rank,State,%,"#"
"41,000  1 Mississippi",6.3,"15,000",27,Minnesota,9.8,
2 Alabama,6.4,"23,000",28,South Carolina,9.8,"36,000"
3 District of Columbia,6.8,"2,000",29,Kansas,9.9,"23,000"
4 Pennsylvania,7.1,"64,000",30,Virginia,10.2,"62,000"
5 New York,7.8,"105,000",31,Washington,10.3,"53,000"
6 South Dakota,8.0,"5,000",32,Montana,10.4,"8,000"
7 New Jersey,8.1,"54,000",33,Missouri,10.4,"47,000"
8 Hawaii,8.5,"8,000",34,Alaska,10.7,"6,000"
9 North Dakota,8.5,"4,000",35,Vermont,10.7,"4,000"
10 Massachusetts,8.5,"40,000",36,Arkansas,10.7,"25,000"
"",,,,,,
11 California,8.7,"256,000",37,Illinois,11.0,"104,000"
12 Colorado,8.7,"36,000",38,Michigan,11.3,"84,000"
13 New Hampshire,8.7,"8,000",39,Nevada,11.8,"26,000"
14 Connecticut,9.0,"24,000",40,Utah,11.9,"36,000"
15 Nebraska,9.0,"14,000",41,Wyoming,12.0,"5,000"
16 Ohio,9.1,"79,000",42,West Virginia,12.5,"15,000"
17 Texas,9.2,"219,000",43,Arizona,12.5,"66,000"
18 Louisiana,9.2,"33,000",44,North Carolina,12.6,"98,000"
19 Tennessee,9.2,"46,000",45,Idaho,12.7,"19,000"
"",,,,,,
20 Florida,9.3,128000,46,Indiana,12.7,"66,000"
21 Georgia,9.3,78000,47,Oklahoma,12.7,"39,000"
"",,,,,,
22 Delaware,9.3,6000,48,Oregon,13.1,"37,000"
23 Rhode Island,9.5,"7,000",49,New Mexico,13.1,"21,000"
"",,,,,,
24 Kentucky,9.6,"31,000",50,Wisconsin,13.4,"58,000"
25 Iowa,9.8,"23,000",51,Maine,13.5,"12,000"
26 Maryland,9.8,"42,000",,National,9.7,"2,343,000"
