Rank_adult_access_2019,State,%_adult_access_2019,#_adult_access_2019
1.0,Maine,41.5,82000.0
2.0,Minnesota,43.0,326000.0
3.0,Vermont,45.5,49000.0
4.0,Iowa,45.7,175000.0
5.0,New Hampshire,46.1,106000.0
6.0,Rhode Island,47.7,82000.0
7.0,Delaware,47.8,64000.0
8.0,Massachusetts,48.6,502000.0
9.0,North Carolina,50.7,725000.0
10.0,Kentucky,50.9,384000.0
11.0,West Virginia,51.8,166000.0
12.0,Missouri,52.4,425000.0
13.0,Michigan,52.6,702000.0
14.0,Wisconsin,52.6,417000.0
15.0,South Dakota,53.3,55000.0
16.0,Ohio,53.4,949000.0
17.0,Colorado,53.5,445000.0
18.0,Illinois,53.5,788000.0
19.0,Montana,53.5,85000.0
20.0,Connecticut,53.6,258000.0
21.0,Virginia,53.7,684000.0
22.0,Washington,53.7,619000.0
23.0,Pennsylvania,53.9,977000.0
24.0,Oregon,54.8,408000.0
25.0,Oklahoma,55.1,303000.0
26.0,Indiana,55.4,558000.0
27.0,Idaho,55.5,148000.0
28.0,Wyoming,55.9,49000.0
29.0,New Mexico,56.0,177000.0
30.0,Kansas,56.1,207000.0
31.0,Nebraska,56.2,142000.0
32.0,Maryland,56.4,429000.0
33.0,Tennessee,56.5,560000.0
34.0,Arkansas,56.6,259000.0
35.0,New York,56.9,1493000.0
36.0,New Jersey,57.0,602000.0
37.0,Utah,57.1,258000.0
38.0,Mississippi,57.4,227000.0
39.0,North Dakota,57.9,51000.0
40.0,District of Columbia,58.2,59000.0
41.0,Alabama,58.8,407000.0
42.0,Georgia,59.0,775000.0
43.0,South Carolina,59.8,398000.0
44.0,Louisiana,60.6,372000.0
45.0,Florida,61.4,1643000.0
46.0,Alaska,61.8,63000.0
47.0,Texas,62.2,1925000.0
48.0,California,62.3,3157000.0
49.0,Arizona,62.6,564000.0
50.0,Nevada,63.1,253000.0
51.0,Hawaii,67.5,111000.0
,National,56.4,24663000.0
