Rank,State,%,#
1.0,Florida,3.34,"535,000"
2.0,Missouri,3.47,"160,000"
3.0,Texas,3.51,"699,000"
4.0,Alabama,3.57,"132,000"
5.0,New Jersey,3.58,"246,000"
6.0,South Carolina,3.73,"139,000"
7.0,Maine,3.74,"40,000"
8.0,Connecticut,3.76,"104,000"
9.0,Oklahoma,3.77,"109,000"
10.0,Mississippi,3.78,"83,000"
11.0,Hawaii,3.79,"40,000"
12.0,South Dakota,3.82,"24,000"
13.0,Maryland,3.82,"175,000"
14.0,Illinois,3.89,"377,000"
15.0,Michigan,3.91,"298,000"
16.0,New York,3.94,"605,000"
17.0,Iowa,3.94,"93,000"
18.0,Georgia,3.94,"298,000"
19.0,California,3.96,"1,173,000"
20.0,Virginia,3.96,"251,000"
21.0,Massachusetts,3.97,"212,000"
22.0,Arizona,4.01,"206,000"
23.0,Wyoming,4.14,"18,000"
24.0,Minnesota,4.15,"173,000"
25.0,North Dakota,4.17,"24,000"
26.0,District of Columbia,4.22,"23,000"
27.0,North Carolina,4.23,"321,000"
28.0,Louisiana,4.24,"147,000"
29.0,New Mexico,4.28,"66,000"
30.0,Nevada,4.29,"95,000"
31.0,West Virginia,4.31,"62,000"
32.0,Delaware,4.35,"32,000"
33.0,Pennsylvania,4.41,"438,000"
34.0,Wisconsin,4.41,"195,000"
35.0,Nebraska,4.42,"62,000"
36.0,Arkansas,4.47,"100,000"
37.0,Ohio,4.47,"394,000"
38.0,Rhode Island,4.49,"37,000"
39.0,Tennessee,4.55,"229,000"
40.0,Indiana,4.58,"227,000"
41.0,Kansas,4.72,"101,000"
42.0,Washington,4.73,"260,000"
43.0,Idaho,4.84,"59,000"
44.0,Colorado,4.88,"203,000"
45.0,New Hampshire,5.01,"53,000"
46.0,Oregon,5.07,"160,000"
47.0,Kentucky,5.08,"170,000"
48.0,Alaska,5.15,"27,000"
49.0,Montana,5.29,"42,000"
50.0,Vermont,5.48,"27,000"
51.0,Utah,5.62,"117,000"
,National,4.04,"9,860,000"
