Rank_adult_suicide_2020,State,%_adult_suicide_2020,#_adult_suicide_2020
1,New Jersey,3.41,235000.0
2,Florida,3.49,569000.0
3,New York,3.68,568000.0
4,Texas,3.72,754000.0
5,Illinois,3.87,376000.0
6,Alabama,3.89,144000.0
7,Michigan,3.99,306000.0
8,Maine,3.99,43000.0
9,Maryland,4.0,184000.0
10,Mississippi,4.01,88000.0
11,New Mexico,4.01,63000.0
12,Arizona,4.02,211000.0
13,Missouri,4.04,186000.0
14,California,4.04,1205000.0
15,Nebraska,4.05,57000.0
16,Connecticut,4.05,113000.0
17,Hawaii,4.08,43000.0
18,Oklahoma,4.1,118000.0
19,District of Columbia,4.11,23000.0
20,South Carolina,4.11,156000.0
21,Delaware,4.16,31000.0
22,Virginia,4.2,268000.0
23,Louisiana,4.25,147000.0
24,Pennsylvania,4.28,426000.0
25,Georgia,4.38,336000.0
26,Wyoming,4.39,19000.0
27.0,South Dakota,4.4,28000.0
28.0,Tennessee,4.5,228000.0
29.0,Minnesota,4.52,190000.0
30.0,Ohio,4.56,404000.0
31.0,North Dakota,4.57,26000.0
32.0,North Carolina,4.57,352000.0
33.0,Massachusetts,4.57,247000.0
34.0,Arkansas,4.59,103000.0
35.0,Wisconsin,4.6,204000.0
36.0,Nevada,4.62,104000.0
37.0,Iowa,4.69,111000.0
38.0,Kentucky,4.71,158000.0
39.0,West Virginia,4.75,68000.0
40.0,Rhode Island,4.78,40000.0
41.0,Kansas,4.87,104000.0
42.0,New Hampshire,4.89,52000.0
43.0,Montana,4.91,39000.0
44.0,Indiana,5.04,251000.0
45.0,Washington,5.06,283000.0
46.0,Oregon,5.18,166000.0
47.0,Vermont,5.31,27000.0
48.0,Alaska,5.34,28000.0
49.0,Colorado,5.41,229000.0
50.0,Idaho,5.6,70000.0
51.0,Utah,5.99,128000.0
,National,4.19,10308000.0
