,Rank_adult_suicide_2021,State,%_adult_suicide_2021,#_adult_suicide_2021
0,1,New Jersey,3.47,239000.0
1,2,New York,3.63,558000.0
2,3,Texas,3.66,756000.0
3,4,Florida,3.67,610000.0
4,5,Illinois,3.87,376000.0
5,6,Georgia,4.03,314000.0
6,7,Maryland,4.07,188000.0
7,8,California,4.1,1232000.0
8,9,Michigan,4.13,319000.0
9,10,Virginia,4.16,267000.0
10,11,District of Columbia,4.17,23000.0
11,12,Pennsylvania,4.17,416000.0
12,13,South Dakota,4.21,27000.0
13,14,New Mexico,4.25,67000.0
14,15,Nebraska,4.29,61000.0
15,16,Arizona,4.43,237000.0
16,17,Alabama,4.45,165000.0
17,18,Tennessee,4.48,230000.0
18,19,Connecticut,4.48,125000.0
19,20,Oklahoma,4.53,132000.0
20,21,North Carolina,4.57,358000.0
21,22,Louisiana,4.57,159000.0
22,23,Minnesota,4.59,195000.0
23,24,Hawaii,4.59,49000.0
24,25,Kentucky,4.65,157000.0
25,26,Nevada,4.65,107000.0
26,27.0,Rhode Island,4.66,39000.0
27,28.0,Arkansas,4.71,106000.0
28,29.0,Missouri,4.72,219000.0
29,30.0,Maine,4.81,52000.0
30,31.0,Mississippi,4.82,107000.0
31,32.0,Kansas,4.82,103000.0
32,33.0,South Carolina,4.9,189000.0
33,34.0,New Hampshire,4.91,53000.0
34,35.0,Massachusetts,4.92,268000.0
35,36.0,Wyoming,5.04,22000.0
36,37.0,Delaware,5.06,38000.0
37,38.0,North Dakota,5.11,
38,39.0,Wisconsin,5.17,231000.0
39,40.0,Ohio,5.18,461000.0
40,41.0,Montana,5.21,42000.0
41,42.0,Vermont,5.22,26000.0
42,43.0,Indiana,5.23,262000.0
43,44.0,West Virginia,5.26,75000.0
44,45.0,Washington,5.3,303000.0
45,46.0,Oregon,5.36,175000.0
46,47.0,Iowa,5.4,129000.0
47,48.0,Idaho,5.45,69000.0
48,49.0,Colorado,5.51,237000.0
49,50.0,Alaska,5.85,31000.0
50,51.0,Utah,6.47,141000.0
51,,National,4.34,10770000.0
