Rank,State,%,"#",Rank,State,%,"#"
1,Massachusetts,2.2,"23,000",27,Arkansas,11.4,"52,000"
2,District of Columbia,4.3,"4,000",28,Illinois,11.8,"175,000"
3,Rhode Island,5.1,"9,000",29,South Dakota,11.8,"12,000"
4,Minnesota,5.3,"41,000",30,Indiana,12.3,"124,000"
5,Hawaii,5.6,"9,000",31,Maine,13.0,"26,000"
6,Maryland,5.9,"45,000",32,Alaska,13.1,"13,000"
7,Connecticut,6.3,"31,000",33,Montana,13.3,"21,000"
8,Kentucky,6.3,"48,000",34,Virginia,13.7,"174,000"
9,Vermont,6.6,"7,000",35,Nebraska,13.9,"35,000"
10,Wisconsin,6.9,"55,000",36,Utah,14.0,"64,000"
11,Colorado,7.1,"59,000",37,North Carolina,14.5,"208,000"
12,Washington,7.3,"85,000",38,Nevada,15.1,"60,000"
13,West Virginia,7.7,"24,000",39,Oklahoma,15.4,"85,000"
14,Iowa,7.9,"30,000",40,Kansas,15.8,"58,000"
15,New Hampshire,8.0,"18,000",41,Missouri,16.2,"132,000"
16,Ohio,8.0,"143,000",42,Idaho,16.6,"45,000"
17,New Mexico,8.3,"26,000",43,South Carolina,16.7,"111,000"
18,Pennsylvania,8.3,"151,000",44,Tennessee,17.0,"169,000"
19,Michigan,8.5,"114,000",45,Alabama,17.5,"121,000"
20,New York,8.7,"230,000",46,Mississippi,18.0,"71,000"
21,New Jersey,9.2,"98,000",47,Georgia,18.5,"244,000"
22,Arizona,10.3,"93,000",48,Florida,19.1,"513,000"
23,Oregon,10.3,"76,000",49,Louisiana,20.0,"123,000"
24,North Dakota,10.4,"9,000",50,Wyoming,20.1,"18,000"
25,California,10.7,"545,000",51,Texas,23.0,"713,000"
26,Delaware,11.1,"15,000",,National,12.2,"5,359,000"
