Rank,State,%,"#",Rank,State,%,"#"
1,Hawaii,15.8,"26,000",27,Georgia,20.9,"275,000"
2,Alabama,16.6,"115,000",28,Utah,20.9,"95,000"
3,Texas,16.7,"518,000",29,Kansas,21.0,"78,000"
4,Nebraska,17.0,"43,000",30,Wyoming,21.2,"19,000"
5,Maine,17.3,"34,000",31,Arizona,21.3,"193,000"
6,Rhode Island,17.4,"30,000",32,South Carolina,21.3,"142,000"
7,Wisconsin,18.1,"143,000",33,Illinois,21.5,"318,000"
8,Alaska,18.3,"19,000",34,Pennsylvania,21.5,"390,000"
9,Florida,18.5,"495,000",35,New Mexico,21.6,"69,000"
10,Massachusetts,18.8,"193,000",36,Colorado,21.8,"181,000"
11,North Dakota,18.8,"17,000",37,Maryland,21.8,"166,000"
12,Vermont,18.8,"20,000",38,West Virginia,21.9,"70,000"
13,Iowa,19.2,"73,000",39,Minnesota,22.3,"170,000"
14,Louisiana,19.6,"121,000",40,Mississippi,22.6,"89,000"
15,Michigan,19.7,"263,000",41,Arkansas,22.7,"104,000"
16,New Jersey,19.7,"210,000",42,Virginia,23.6,"300,000"
17,Oklahoma,19.8,"109,000",43,Missouri,24.1,"194,000"
18,California,19.9,"1,009,000",44,North Carolina,24.1,"344,000"
19,New York,19.9,"524,000",45,Washington,24.3,"280,000"
20,Kentucky,20.0,"152,000",46,Indiana,24.5,"247,000"
21,South Dakota,20.1,"21,000",47,Idaho,24.7,"66,000"
22,Ohio,20.2,"361,000",48,Oregon,24.9,"185,000"
23,Tennessee,20.5,"203,000",49,New Hampshire,25.1,"57,000"
24,Montana,20.7,"33,000",50,Nevada,26.2,"105,000"
25,Connecticut,20.8,"101,000",51,District of Columbia,26.3,"26,000"
26,Delaware,20.8,"28,000",,National,20.6,"9,024,000"
