Rank,State,%,#
1.0,Hawaii,15.8,"26,000"
2.0,Alabama,16.6,"115,000"
3.0,Texas,16.7,"518,000"
4.0,Nebraska,17.0,"43,000"
5.0,Maine,17.3,"34,000"
6.0,Rhode Island,17.4,"30,000"
7.0,Wisconsin,18.1,"143,000"
8.0,Alaska,18.3,"19,000"
9.0,Florida,18.5,"495,000"
10.0,Massachusetts,18.8,"193,000"
11.0,North Dakota,18.8,"17,000"
12.0,Vermont,18.8,"20,000"
13.0,Iowa,19.2,"73,000"
14.0,Louisiana,19.6,"121,000"
15.0,Michigan,19.7,"263,000"
16.0,New Jersey,19.7,"210,000"
17.0,Oklahoma,19.8,"109,000"
18.0,California,19.9,"1,009,000"
19.0,New York,19.9,"524,000"
20.0,Kentucky,20.0,"152,000"
21.0,South Dakota,20.1,"21,000"
22.0,Ohio,20.2,"361,000"
23.0,Tennessee,20.5,"203,000"
24.0,Montana,20.7,"33,000"
25.0,Connecticut,20.8,"101,000"
26.0,Delaware,20.8,"28,000"
27.0,Georgia,20.9,"275,000"
28.0,Utah,20.9,"95,000"
29.0,Kansas,21.0,"78,000"
30.0,Wyoming,21.2,"19,000"
31.0,Arizona,21.3,"193,000"
32.0,South Carolina,21.3,"142,000"
33.0,Illinois,21.5,"318,000"
34.0,Pennsylvania,21.5,"390,000"
35.0,New Mexico,21.6,"69,000"
36.0,Colorado,21.8,"181,000"
37.0,Maryland,21.8,"166,000"
38.0,West Virginia,21.9,"70,000"
39.0,Minnesota,22.3,"170,000"
40.0,Mississippi,22.6,"89,000"
41.0,Arkansas,22.7,"104,000"
42.0,Virginia,23.6,"300,000"
43.0,Missouri,24.1,"194,000"
44.0,North Carolina,24.1,"344,000"
45.0,Washington,24.3,"280,000"
46.0,Indiana,24.5,"247,000"
47.0,Idaho,24.7,"66,000"
48.0,Oregon,24.9,"185,000"
49.0,New Hampshire,25.1,"57,000"
50.0,Nevada,26.2,"105,000"
51.0,District of Columbia,26.3,"26,000"
,National,20.6,"9,024,000"
