Rank_adult_unmet_needs2020,State,%_adult_unmet_needs2020,#_adult_unmet_needs2020
1.0,Alabama,14.3,"106,000"
2.0,Hawaii,14.7,"25,000"
3.0,Iowa,18.2,"82,000"
4.0,Texas,19.2,"620,000"
5.0,Wyoming,19.2,"17,000"
6.0,Minnesota,19.4,"141,000"
7.0,Maine,19.7,"39,000"
8.0,New York,20.1,"536,000"
9.0,Louisiana,20.2,"133,000"
10.0,Ohio,20.4,"363,000"
11.0,West Virginia,20.4,"70,000"
12.0,Vermont,20.7,"21,000"
13.0,North Dakota,21.2,"21,000"
14.0,Arizona,21.3,"189,000"
15.0,Idaho,21.7,"72,000"
16.0,South Dakota,21.7,"24,000"
17.0,Delaware,21.8,"29,000"
18.0,Illinois,21.8,"331,000"
19.0,North Carolina,21.8,"302,000"
20.0,California,21.9,"1,196,000"
21.0,Mississippi,21.9,"92,000"
22.0,Alaska,22.0,"23,000"
23.0,Florida,22.0,"632,000"
24.0,Michigan,22.0,"307,000"
25.0,Tennessee,22.0,"208,000"
26.0,Wisconsin,22.0,"178,000"
27.0,Colorado,22.2,"186,000"
28.0,Massachusetts,22.3,"262,000"
29.0,Oklahoma,22.4,"129,000"
30.0,Georgia,22.5,"309,000"
31.0,Maryland,22.6,"180,000"
32.0,Nebraska,22.6,"54,000"
33.0,Connecticut,22.9,"113,000"
34.0,Kentucky,22.9,"178,000"
35.0,New Jersey,22.9,"254,000"
36.0,Montana,23.3,"36,000"
37.0,New Mexico,23.8,"65,000"
38.0,Rhode Island,24.3,"39,000"
39.0,District of Columbia,24.5,"30,000"
40.0,Washington,24.5,"327,000"
41.0,Pennsylvania,24.7,"435,000"
42.0,South Carolina,24.8,"173,000"
43.0,Arkansas,25.0,"119,000"
44.0,Missouri,25.0,"238,000"
45.0,Indiana,25.2,"272,000"
46.0,Kansas,25.9,"109,000"
47.0,Virginia,28.3,"337,000"
48.0,Oregon,28.5,"224,000"
49.0,Nevada,28.6,"121,000"
50.0,New Hampshire,28.8,"57,000"
51.0,Utah,31.2,"163,000"
,National,22.3,"10,168,000"
