Rank,State,%,#
1.0,New Jersey,15.5,"1,062,000"
2.0,Hawaii,15.55,"165,000"
3.0,Illinois,15.73,"1,526,000"
4.0,Texas,16.04,"3,196,000"
5.0,Maryland,16.59,"758,000"
6.0,North Dakota,17.06,"97,000"
7.0,California,17.15,"5,072,000"
8.0,Florida,17.3,"2,769,000"
9.0,Louisiana,17.31,"599,000"
10.0,Michigan,17.33,"1,320,000"
11.0,Mississippi,17.49,"385,000"
12.0,Arizona,17.52,"902,000"
13.0,New York,17.54,"2,692,000"
14.0,Maine,17.62,"187,000"
15.0,Delaware,17.71,"129,000"
16.0,Iowa,17.72,"418,000"
17.0,Georgia,17.74,"1,341,000"
18.0,South Dakota,17.83,"113,000"
19.0,Connecticut,18.0,"500,000"
20.0,Missouri,18.03,"828,000"
21.0,South Carolina,18.12,"677,000"
22.0,Kansas,18.17,"387,000"
23.0,Minnesota,18.24,"759,000"
24.0,Nevada,18.33,"404,000"
25.0,Nebraska,18.39,"258,000"
26.0,Alabama,18.47,"680,000"
27.0,Wisconsin,18.51,"817,000"
28.0,Pennsylvania,18.76,"1,861,000"
29.0,District of Columbia,18.82,"103,000"
30.0,Oklahoma,18.93,"545,000"
31.0,North Carolina,18.98,"1,440,000"
32.0,New Mexico,19.19,"298,000"
33.0,Rhode Island,19.23,"160,000"
34.0,Massachusetts,19.34,"1,034,000"
35.0,New Hampshire,19.36,"204,000"
36.0,Wyoming,19.46,"85,000"
37.0,Tennessee,19.63,"986,000"
38.0,Ohio,19.72,"1,741,000"
39.0,Indiana,19.95,"988,000"
40.0,Virginia,19.96,"1,261,000"
41.0,Alaska,20.01,"105,000"
42.0,Colorado,20.05,"832,000"
43.0,Montana,20.57,"164,000"
44.0,Washington,20.72,"1,139,000"
45.0,Vermont,20.85,"104,000"
46.0,West Virginia,20.9,"300,000"
47.0,Arkansas,21.02,"468,000"
48.0,Idaho,21.62,"262,000"
49.0,Kentucky,22.08,"737,000"
50.0,Utah,22.27,"464,000"
51.0,Oregon,22.61,"714,000"
