Rank_adult_ami_2021,State,%_adult_ami_2021,#_adult_ami_2021
1.0,New Jersey,16.14,1112000.0
2.0,Texas,16.21,3347000.0
3.0,Maryland,16.96,781000.0
4.0,Virginia,17.38,1115000.0
5.0,Florida,17.39,2889000.0
6.0,South Dakota,17.49,112000.0
7.0,Hawaii,17.58,187000.0
8.0,Illinois,18.06,1754000.0
9.0,Nebraska,18.08,257000.0
10.0,Georgia,18.09,1405000.0
11.0,Pennsylvania,18.23,1814000.0
12.0,New York,18.25,2802000.0
13.0,Tennessee,18.26,937000.0
14.0,South Carolina,18.31,706000.0
15.0,California,18.54,5566000.0
16.0,North Carolina,18.77,1469000.0
17.0,Connecticut,19.03,531000.0
18.0,Michigan,19.07,1469000.0
20.0,North Dakota,19.13,108000.0
21.0,Arizona,19.24,1030000.0
22.0,Wisconsin,19.26,859000.0
23.0,Minnesota,19.32,819000.0
24.0,Mississippi,19.49,431000.0
25.0,Kansas,19.59,420000.0
26.0,Iowa,19.89,473000.0
27.0,Montana,20.0,163000.0
28.0,Delaware,20.03,149000.0
29.0,Arkansas,20.27,457000.0
30.0,Wyoming,20.34,88000.0
31.0,Oklahoma,20.43,592000.0
32.0,Alaska,20.5,108000.0
33.0,New Hampshire,20.56,221000.0
34.0,Louisiana,20.63,715000.0
35.0,Vermont,20.65,104000.0
36.0,Nevada,20.67,474000.0
37.0,Maine,20.82,223000.0
38.0,Massachusetts,21.22,1155000.0
39.0,Rhode Island,21.32,178000.0
40.0,Alabama,21.39,794000.0
41.0,Ohio,21.4,1906000.0
42.0,Missouri,21.44,993000.0
43.0,Colorado,21.5,924000.0
44.0,Kentucky,22.14,746000.0
46.0,Washington,22.23,1269000.0
47.0,Oregon,22.45,731000.0
48.0,Indiana,22.51,1129000.0
49.0,West Virginia,23.8,337000.0
50.0,Idaho,24.46,311000.0
51.0,Utah,25.25,550000.0
,National,19.0,47132000.0
