Rank,State,healthcare_workers_per_person_2020,worker_ratio_2020
1.0,Massachusetts,180,0.005555555555555556
2.0,Oregon,210,0.004761904761904762
3.0,District of Columbia,220,0.004545454545454545
4.0,Maine,220,0.004545454545454545
5.0,Vermont,230,0.004347826086956522
6.0,Alaska,260,0.0038461538461538464
7.0,New Mexico,260,0.0038461538461538464
8.0,Oklahoma,260,0.0038461538461538464
9.0,Rhode Island,260,0.0038461538461538464
10.0,Connecticut,270,0.003703703703703704
11.0,Colorado,300,0.0033333333333333335
12.0,California,310,0.0032258064516129032
13.0,Washington,310,0.0032258064516129032
14.0,Wyoming,310,0.0032258064516129032
15.0,Utah,330,0.0030303030303030303
16.0,Louisiana,340,0.0029411764705882353
17.0,New Hampshire,350,0.002857142857142857
18.0,Montana,360,0.002777777777777778
19.0,New York,370,0.002702702702702703
20.0,Michigan,400,0.0025
21.0,Nebraska,400,0.0025
22.0,Delaware,410,0.0024390243902439024
23.0,Hawaii,430,0.002325581395348837
24.0,Maryland,430,0.002325581395348837
25.0,Minnesota,430,0.002325581395348837
26.0,North Carolina,440,0.0022727272727272726
27.0,Arkansas,460,0.002173913043478261
28.0,Ohio,470,0.002127659574468085
29.0,Illinois,480,0.0020833333333333333
30.0,Kentucky,490,0.0020408163265306124
31.0,New Jersey,500,0.002
32.0,Idaho,510,0.00196078431372549
33.0,Nevada,510,0.00196078431372549
34.0,Kansas,530,0.0018867924528301887
35.0,Pennsylvania,530,0.0018867924528301887
36.0,Wisconsin,530,0.0018867924528301887
37.0,Missouri,550,0.0018181818181818182
38.0,North Dakota,570,0.0017543859649122807
39.0,South Dakota,590,0.001694915254237288
40.0,South Carolina,610,0.001639344262295082
41.0,Virginia,630,0.0015873015873015873
42.0,Florida,670,0.0014925373134328358
43.0,Indiana,670,0.0014925373134328358
44.0,Iowa,700,0.0014285714285714286
45.0,Mississippi,700,0.0014285714285714286
46.0,Tennessee,700,0.0014285714285714286
47.0,Arizona,790,0.0012658227848101266
48.0,Georgia,790,0.0012658227848101266
49.0,West Virginia,830,0.0012048192771084338
50.0,Texas,960,0.0010416666666666667
51.0,Alabama,1100,0.0009090909090909091
