Rank,State,%,#
1.0,Hawaii,12.45,"177,535"
2.0,Iowa,12.64,"54,455"
3.0,Vermont,12.66,"13,144"
4.0,North Dakota,13.26,"12,981"
5.0,New Hampshire,13.47,"28,019"
6.0,Massachusetts,13.64,"141,320"
7.0,District of Columbia,14.19,"13,597"
8.0,Minnesota,14.38,"104,523"
9.0,Illinois,15.38,"262,507"
10.0,Maine,15.89,"40,150"
11.0,South Dakota,16.11,"21,437"
12.0,Rhode Island,16.18,"27,887"
13.0,Washington,17.3,"219,597"
14.0,Colorado,17.3,"133,762"
15.0,Connecticut,17.53,"93,597"
16.0,Wisconsin,17.53,"146,005"
17.0,Ohio,17.59,"319,279"
18.0,Montana,18.21,"34,492"
19.0,Maryland,18.27,"143,733"
20.0,California,18.46,"1,006,308"
21.0,New York,18.79,"531,331"
22.0,Kansas,19.02,"79,714"
23.0,Oregon,19.23,"152,156"
24.0,Nebraska,19.39,"48,379"
25.0,Delaware,19.48,"28,943"
26.0,West Virginia,20.03,"82,178"
27.0,Pennsylvania,20.17,"392,965"
28.0,Idaho,20.74,"56,031"
29.0,Alaska,20.98,"23,610"
30.0,New Mexico,21.09,"72,475"
31.0,Kentucky,21.21,"188,778"
32.0,Wyoming,21.3,"20,759"
33.0,Michigan,21.43,"363,203"
34.0,Virginia,21.65,"243,521"
35.0,Utah,22.06,"77,733"
36.0,New Jersey,22.35,"258,348"
37.0,Indiana,22.86,"237,916"
38.0,Missouri,23.54,"272,719"
39.0,Arkansas,24.11,"146,714"
40.0,Arizona,24.14,"249,660"
41.0,Nevada,24.75,"109,424"
42.0,Tennessee,25.21,"309,380"
43.0,North Carolina,25.4,"418,833"
44.0,Oklahoma,25.45,"188,785"
45.0,Alabama,25.65,"261,471"
46.0,Georgia,26.96,"407,162"
47.0,Florida,27.11,"875,479"
48.0,South Carolina,28.12,"244,082"
49.0,Louisiana,28.73,"225,771"
50.0,Texas,29.19,"956,390"
51.0,Mississippi,30.91,"170,133"
,National,21.62,"10,663,174"
