Rank_disability_adults_nodoc_2020,State,%_disability_adults_nodoc_2020,#_disability_adults_nodoc_2020
1.0,Iowa,16.87,37908.0
2.0,Vermont,18.63,9188.0
3.0,Massachusetts,20.44,110799.0
4.0,Alaska,20.69,9859.0
5.0,Rhode Island,20.7,20592.0
6.0,Hawaii,20.86,19358.0
7.0,Ohio,22.23,239773.0
8.0,New York,22.35,315572.0
9.0,California,22.47,647176.0
10.0,Pennsylvania,22.97,254064.0
11.0,Connecticut,23.06,51647.0
12.0,New Hampshire,23.99,23315.0
13.0,Minnesota,24.81,98572.0
14.0,Montana,25.1,22931.0
15.0,Delaware,25.4,24687.0
16.0,Maryland,25.74,100730.0
17.0,District of Columbia,25.88,14059.0
18.0,Nebraska,26.66,33510.0
19.0,Kentucky,26.77,145055.0
20.0,Wisconsin,26.98,112237.0
21.0,Washington,27.19,158208.0
22.0,Michigan,27.29,280450.0
23.0,West Virginia,27.54,74517.0
24.0,North Dakota,27.67,12131.0
25.0,Colorado,27.72,102075.0
26.0,Oregon,28.37,103596.0
27.0,Idaho,28.49,33213.0
28.0,Indiana,28.78,167315.0
29.0,Illinois,29.06,237367.0
30.0,Maine,29.34,32555.0
31.0,Arizona,29.84,170006.0
32.0,Kansas,29.99,65857.0
33.0,South Dakota,30.13,18219.0
34.0,Nevada,30.76,77939.0
35.0,South Carolina,30.79,147202.0
36.0,Utah,31.19,70771.0
37.0,Arkansas,31.42,107117.0
38.0,New Mexico,31.51,61938.0
39.0,Missouri,32.21,195362.0
40.0,Tennessee,33.23,239969.0
41.0,Alabama,33.24,191499.0
42.0,North Carolina,33.36,290888.0
43.0,Florida,33.37,684912.0
44.0,Mississippi,33.97,113045.0
45.0,Wyoming,34.35,15974.0
46.0,Oklahoma,34.43,150379.0
47.0,Virginia,34.48,213282.0
48.0,New Jersey,35.07,245583.0
49.0,Georgia,36.06,322610.0
50.0,Louisiana,38.23,201908.0
51.0,Texas,41.03,983751.0
,National,29.4,8181777.0
