Rank,State,%,#
1.0,Massachusetts,2.2,"23,000"
2.0,District of Columbia,4.3,"4,000"
3.0,Rhode Island,5.1,"9,000"
4.0,Minnesota,5.3,"41,000"
5.0,Hawaii,5.6,"9,000"
6.0,Maryland,5.9,"45,000"
7.0,Connecticut,6.3,"31,000"
8.0,Kentucky,6.3,"48,000"
9.0,Vermont,6.6,"7,000"
10.0,Wisconsin,6.9,"55,000"
11.0,Colorado,7.1,"59,000"
12.0,Washington,7.3,"85,000"
13.0,West Virginia,7.7,"24,000"
14.0,Iowa,7.9,"30,000"
15.0,New Hampshire,8.0,"18,000"
16.0,Ohio,8.0,"143,000"
17.0,New Mexico,8.3,"26,000"
18.0,Pennsylvania,8.3,"151,000"
19.0,Michigan,8.5,"114,000"
20.0,New York,8.7,"230,000"
21.0,New Jersey,9.2,"98,000"
22.0,Arizona,10.3,"93,000"
23.0,Oregon,10.3,"76,000"
24.0,North Dakota,10.4,"9,000"
25.0,California,10.7,"545,000"
26.0,Delaware,11.1,"15,000"
27.0,Arkansas,11.4,"52,000"
28.0,Illinois,11.8,"175,000"
29.0,South Dakota,11.8,"12,000"
30.0,Indiana,12.3,"124,000"
31.0,Maine,13.0,"26,000"
32.0,Alaska,13.1,"13,000"
33.0,Montana,13.3,"21,000"
34.0,Virginia,13.7,"174,000"
35.0,Nebraska,13.9,"35,000"
36.0,Utah,14.0,"64,000"
37.0,North Carolina,14.5,"208,000"
38.0,Nevada,15.1,"60,000"
39.0,Oklahoma,15.4,"85,000"
40.0,Kansas,15.8,"58,000"
41.0,Missouri,16.2,"132,000"
42.0,Idaho,16.6,"45,000"
43.0,South Carolina,16.7,"111,000"
44.0,Tennessee,17.0,"169,000"
45.0,Alabama,17.5,"121,000"
46.0,Mississippi,18.0,"71,000"
47.0,Georgia,18.5,"244,000"
48.0,Florida,19.1,"513,000"
49.0,Louisiana,20.0,"123,000"
50.0,Wyoming,20.1,"18,000"
51.0,Texas,23.0,"713,000"
,National,12.2,"5,359,000"
