Rank_youth_ami_2021,State,%_youth_ami_2021,#_youth_ami_2021
1.0,District of Columbia,10.53,3000.0
2.0,New York,11.4,157000.0
3.0,Pennsylvania,11.88,109000.0
4.0,New Jersey,11.95,82000.0
5.0,Mississippi,12.15,29000.0
6.0,Tennessee,12.27,63000.0
7.0,Georgia,12.52,108000.0
8.0,South Dakota,12.53,9000.0
9.0,Louisiana,12.84,46000.0
10.0,Hawaii,12.93,12000.0
11.0,Maryland,13.02,59000.0
12.0,Delaware,13.05,9000.0
13.0,Alabama,13.13,49000.0
14.0,Florida,13.17,189000.0
15.0,Texas,13.2,325000.0
16.0,Rhode Island,13.4,10000.0
17.0,South Carolina,13.56,51000.0
18.0,Kentucky,13.61,46000.0
19.0,California,13.71,415000.0
20.0,Ohio,13.73,123000.0
21.0,North Dakota,13.75,7000.0
22.0,Massachusetts,13.86,67000.0
23.0,Colorado,13.99,60000.0
24.0,Minnesota,14.04,61000.0
25.0,Nebraska,14.2,22000.0
26.0,Connecticut,14.24,39000.0
27.0,Virginia,14.28,90000.0
28.0,Montana,14.4,11000.0
29.0,Vermont,14.65,6000.0
30.0,West Virginia,14.66,18000.0
31.0,Arkansas,14.74,35000.0
32.0,Missouri,14.78,69000.0
33.0,Illinois,14.86,148000.0
34.0,Wyoming,14.91,7000.0
35.0,Kansas,14.95,35000.0
36.0,North Carolina,15.05,119000.0
37.0,New Hampshire,15.08,14000.0
38.0,Iowa,15.09,37000.0
39.0,Nevada,15.11,35000.0
40.0,Alaska,15.21,9000.0
41.0,Wisconsin,15.31,68000.0
42.0,Michigan,15.36,117000.0
43.0,Maine,15.45,14000.0
44.0,Washington,15.66,85000.0
45.0,Indiana,15.71,84000.0
46.0,Arizona,15.93,89000.0
47.0,Oklahoma,16.48,52000.0
48.0,Utah,16.64,51000.0
49.0,Idaho,16.7,26000.0
50.0,New Mexico,17.43,29000.0
51.0,Oregon,17.57,52000.0
,National,13.84,3449000.0
