Rank,State,%,#
1,District of Columbia,9.91,"3,000"
2,Georgia,10.14,"87,000"
3,Louisiana,10.15,"37,000"
4,New Jersey,10.39,"72,000"
5,Mississippi,10.78,"26,000"
6,South Carolina,10.83,"40,000"
7,Hawaii,10.99,"11,000"
8,Alabama,11.18,"42,000"
9,North Dakota,11.25,"6,000"
10,Arizona,11.68,"64,000"
11,North Carolina,11.70,"92,000"
12,Kentucky,11.72,"40,000"
13,South Dakota,11.79,"8,000"
14,New York,11.91,"169,000"
15,Delaware,11.94,"8,000"
16,Texas,11.95,"286,000"
17,Tennessee,12.13,"62,000"
18,Pennsylvania,12.33,"114,000"
19,Vermont,12.45,"5,000"
20,Illinois,12.46,"126,000"
21,Connecticut,12.52,"35,000"
22,Kansas,12.53,"30,000"
23,Virginia,12.56,"79,000"
24,New Mexico,12.61,"21,000"
25,Maryland,12.69,"58,000"
26,Florida,12.84,"180,000"
27,California,12.93,"393,000"
28,Nebraska,12.97,"20,000"
29,Arkansas,13.05,"31,000"
30,Washington,13.23,"70,000"
31,Michigan,13.27,"103,000"
32,Minnesota,13.39,"57,000"
33,New Hampshire,13.40,"13,000"
34,Oklahoma,13.53,"43,000"
35,Montana,13.56,"10,000"
36,Massachusetts,13.72,"67,000"
37,Rhode Island,13.72,"10,000"
38,Utah,13.81,"41,000"
39,West Virginia,13.90,"18,000"
40,Ohio,13.98,"127,000"
41,Iowa,14.09,"34,000"
42,Maine,14.25,"13,000"
43,Missouri,14.28,"67,000"
44,Wisconsin,14.45,"64,000"
45,Colorado,14.59,"62,000"
46,Indiana,14.70,"79,000"
47,Wyoming,15.00,"7,000"
48,Alaska,15.22,"9,000"
49,Oregon,15.66,"46,000"
50,Nevada,15.66,"35,000"
51,Idaho,15.93,"23,000"
