Rank_youth_ami_2020,State,%_youth_ami_2020,#_youth_ami_2020
1,District of Columbia,10.49,3000.0
2,Louisiana,10.76,39000.0
3,New Jersey,11.17,77000.0
4,Georgia,11.44,99000.0
5,New York,11.46,161000.0
6,Mississippi,11.56,28000.0
7,Delaware,11.58,8000.0
8,Alabama,11.9,45000.0
9,Kentucky,11.94,41000.0
10,Hawaii,11.97,11000.0
11,North Carolina,12.03,95000.0
12,North Dakota,12.13,6000.0
13,Texas,12.19,296000.0
14,Pennsylvania,12.23,113000.0
15,South Carolina,12.31,46000.0
16,South Dakota,12.56,
17,Tennessee,12.79,65000.0
18,Vermont,12.83,5000.0
19,Maryland,12.91,59000.0
20,Nebraska,13.01,20000.0
21,Arizona,13.06,72000.0
22,Florida,13.09,185000.0
23,Connecticut,13.16,36000.0
24,Virginia,13.22,83000.0
25,California,13.23,401000.0
26,Rhode Island,13.3,10000.0
27.0,Arkansas,13.36,32000.0
28.0,Minnesota,13.56,58000.0
29.0,Massachusetts,13.6,66000.0
30.0,Wisconsin,13.66,61000.0
31.0,Indiana,13.77,74000.0
32.0,Kansas,13.84,33000.0
33.0,Oklahoma,13.86,44000.0
34.0,Michigan,13.87,107000.0
35.0,Colorado,13.89,59000.0
36.0,New Hampshire,13.91,13000.0
37.0,Washington,13.98,75000.0
38.0,Illinois,14.0,141000.0
39.0,West Virginia,14.05,18000.0
40.0,Montana,14.07,11000.0
41.0,Iowa,14.1,34000.0
16,South Dakota,14.2,
43.0,Alaska,14.27,8000.0
44.0,Ohio,14.35,129000.0
45.0,Missouri,14.57,68000.0
46.0,New Mexico,14.88,25000.0
47.0,Nevada,14.97,34000.0
48.0,Maine,15.07,14000.0
49.0,Utah,15.48,47000.0
50.0,Idaho,16.22,24000.0
51.0,Oregon,16.34,48000.0
,National,13.01,3243000.0
