Rank,State,%,#
1.0,New Jersey,6.1,"41,000"
2.0,North Dakota,6.2,"3,000"
,,,
3.0,South Dakota,6.2,"4,000"
4.0,Georgia,6.3,"52,000"
5.0,Kentucky,6.3,"21,000"
6.0,Hawaii,7.1,"7,000"
7.0,Montana,7.1,"5,000"
8.0,New Mexico,7.1,"11,000"
9.0,Louisiana,7.4,"26,000"
10.0,New York,7.5,"103,000"
11.0,South Carolina,7.5,"27,000"
12.0,District of Columbia,7.6,"2,000"
13.0,Texas,7.8,"181,000"
14.0,Vermont,7.9,"3,000"
15.0,California,8.0,"237,000"
16.0,Connecticut,8.0,"22,000"
17.0,Kansas,8.0,"18,000"
18.0,Alabama,8.1,"30,000"
19.0,Nebraska,8.2,"12,000"
20.0,Illinois,8.3,"82,000"
21.0,Tennessee,8.5,"41,000"
22.0,Michigan,8.6,"66,000"
23.0,Delaware,8.7,"6,000"
24.0,Pennsylvania,8.8,"79,000"
25.0,Mississippi,8.9,"21,000"
26.0,New Hampshire,8.9,"9,000"
27.0,Utah,9.1,"26,000"
28.0,Florida,9.2,"125,000"
,,,
29.0,Iowa,9.2,"22,000"
30.0,Oklahoma,9.2,"28,000"
31.0,Arkansas,9.3,"22,000"
32.0,Ohio,9.3,"83,000"
33.0,Maryland,9.5,"42,000"
34.0,North Carolina,9.5,"72,000"
35.0,Virginia,9.5,"57,000"
36.0,Minnesota,9.7,"40,000"
37.0,Wyoming,9.7,"4,000"
38.0,Colorado,9.8,"40,000"
39.0,Arizona,9.9,"53,000"
40.0,Missouri,9.9,"45,000"
41.0,Maine,10.0,"9,000"
42.0,Washington,10.0,"52,000"
43.0,Alaska,10.1,"6,000"
44.0,Wisconsin,10.2,"45,000"
45.0,Massachusetts,10.6,"50,000"
46.0,West Virginia,10.7,"13,000"
47.0,Idaho,11.2,"16,000"
48.0,Rhode Island,11.8,"8,000"
49.0,Oregon,12.2,"35,000"
50.0,Indiana,12.3,"64,000"
51.0,Nevada,12.7,"27,000"
,National,8.7,"2,096,000"
