Rank_youth_mde_2020,State,%_youth_mde_2020,#_youth_mde_2020
1.0,Mississippi,6.0,14000.0
2.0,North Dakota,6.0,3000.0
3.0,Kentucky,6.3,21000.0
4.0,Delaware,6.6,4000.0
5.0,Iowa,6.9,17000.0
6.0,New Jersey,7.0,47000.0
7.0,South Dakota,7.3,5000.0
8.0,Louisiana,7.5,27000.0
9.0,New York,7.5,102000.0
10.0,Georgia,7.7,65000.0
11.0,Nebraska,7.7,12000.0
12.0,Kansas,7.8,18000.0
13.0,District of Columbia,7.9,2000.0
14.0,Alabama,8.1,29000.0
15.0,Vermont,8.2,3000.0
16.0,Colorado,8.3,35000.0
17.0,New Hampshire,8.3,8000.0
18.0,Arkansas,8.4,19000.0
19.0,Oklahoma,8.4,26000.0
20.0,Pennsylvania,8.6,77000.0
21.0,California,8.8,258000.0
22.0,Arizona,8.9,47000.0
23.0,South Carolina,8.9,32000.0
24.0,Hawaii,9.0,8000.0
25.0,Texas,9.0,211000.0
26.0,Michigan,9.1,68000.0
27.0,Virginia,9.1,55000.0
28.0,Montana,9.2,7000.0
29.0,Alaska,9.3,5000.0
30.0,North Carolina,9.8,75000.0
31.0,Ohio,9.9,87000.0
32.0,Florida,10.0,137000.0
33.0,Maryland,10.0,43000.0
34.0,Illinois,10.1,98000.0
35.0,Wyoming,10.1,4000.0
36.0,Connecticut,10.2,27000.0
37.0,Rhode Island,10.2,7000.0
38.0,Indiana,10.4,54000.0
39.0,Tennessee,10.4,52000.0
40.0,Massachusetts,10.5,50000.0
41.0,Minnesota,10.5,44000.0
42.0,New Mexico,10.5,17000.0
43.0,Utah,10.7,31000.0
44.0,Washington,10.7,56000.0
45.0,Wisconsin,10.8,47000.0
46.0,Missouri,11.3,51000.0
47.0,West Virginia,11.3,14000.0
48.0,Idaho,11.7,17000.0
49.0,Oregon,12.7,36000.0
50.0,Maine,13.1,12000.0
51.0,Nevada,13.2,28000.0
,National,9.2,2217000.0
