,Rank_youth_mde_2021,State,%_youth_mde_2021,#_youth_mde_2021
0,1,Mississippi,6.3,15000.0
1,2,Alabama,6.4,23000.0
2,3,District of Columbia,6.8,2000.0
3,4,Pennsylvania,7.1,64000.0
4,5,New York,7.8,105000.0
5,6,South Dakota,8.0,5000.0
6,7,New Jersey,8.1,54000.0
7,8,Hawaii,8.5,8000.0
8,9,North Dakota,8.5,4000.0
9,10,Massachusetts,8.5,40000.0
10,11,California,8.7,256000.0
11,12,Colorado,8.7,36000.0
12,13,New Hampshire,8.7,8000.0
13,14,Connecticut,9.0,24000.0
14,15,Nebraska,9.0,14000.0
15,16,Ohio,9.1,79000.0
16,17,Texas,9.2,219000.0
17,18,Louisiana,9.2,33000.0
18,19,Tennessee,9.2,46000.0
19,20,Florida,9.3,128000.0
20,21,Georgia,9.3,78000.0
21,22,Delaware,9.3,6000.0
22,23,Rhode Island,9.5,7000.0
23,24,Kentucky,9.6,31000.0
24,25,Iowa,9.8,23000.0
25,26,Maryland,9.8,42000.0
26,27.0,Minnesota,9.8,
27,28.0,South Carolina,9.8,36000.0
28,29.0,Kansas,9.9,23000.0
29,30.0,Virginia,10.2,62000.0
30,31.0,Washington,10.3,53000.0
31,32.0,Montana,10.4,8000.0
32,33.0,Missouri,10.4,47000.0
33,34.0,Alaska,10.7,6000.0
34,35.0,Vermont,10.7,4000.0
35,36.0,Arkansas,10.7,25000.0
36,37.0,Illinois,11.0,104000.0
37,38.0,Michigan,11.3,84000.0
38,39.0,Nevada,11.8,26000.0
39,40.0,Utah,11.9,36000.0
40,41.0,Wyoming,12.0,5000.0
41,42.0,West Virginia,12.5,15000.0
42,43.0,Arizona,12.5,66000.0
43,44.0,North Carolina,12.6,98000.0
44,45.0,Idaho,12.7,19000.0
45,46.0,Indiana,12.7,66000.0
46,47.0,Oklahoma,12.7,39000.0
47,48.0,Oregon,13.1,37000.0
48,49.0,New Mexico,13.1,21000.0
49,50.0,Wisconsin,13.4,58000.0
50,51.0,Maine,13.5,12000.0
51,,National,9.7,2343000.0
