Rank_youth_no_mh_care2021,State,%_youth_no_mh_care2021,#_youth_no_mh_care2021
1,Maine,38.6,6000.0
2,District of Columbia,38.8,1000.0
3,Vermont,40.7,2000.0
4,Maryland,41.3,23000.0
5,Utah,45.2,22000.0
6,Washington,47.0,38000.0
7,Wisconsin,47.2,33000.0
8,Delaware,47.9,4000.0
9,Kentucky,49.3,19000.0
10,South Dakota,49.7,3000.0
11,Ohio,52.2,59000.0
12,Virginia,53.0,51000.0
13,Indiana,53.0,48000.0
14,Iowa,53.0,20000.0
15,North Dakota,53.4,3000.0
16,Rhode Island,53.4,5000.0
17,Oregon,53.9,30000.0
18,Kansas,54.7,19000.0
19,Louisiana,54.9,24000.0
20,Minnesota,55.4,32000.0
21,Nebraska,55.4,12000.0
22,Montana,55.6,5000.0
23,Michigan,55.7,66000.0
24,New Jersey,55.7,40000.0
25,Hawaii,56.2,5000.0
26,Wyoming,56.6,4000.0
27.0,New Hampshire,56.9,9000.0
28.0,Pennsylvania,57.5,56000.0
29.0,Alaska,57.8,5000.0
30.0,Missouri,58.8,40000.0
31.0,New York,59.1,85000.0
32.0,Connecticut,59.1,24000.0
33.0,West Virginia,59.3,11000.0
34.0,Arizona,59.6,52000.0
35.0,North Carolina,60.2,77000.0
36.0,Colorado,60.9,29000.0
37.0,Oklahoma,61.1,35000.0
38.0,Idaho,61.2,15000.0
39.0,Massachusetts,61.2,41000.0
40.0,Tennessee,61.5,35000.0
41.0,Illinois,62.1,90000.0
42.0,New Mexico,62.9,20000.0
43.0,Arkansas,63.9,23000.0
44.0,Florida,64.7,116000.0
45.0,California,66.0,259000.0
46.0,Mississippi,66.3,18000.0
47.0,Texas,67.1,209000.0
48.0,South Carolina,68.0,36000.0
49.0,Alabama,69.7,31000.0
50.0,Georgia,70.4,73000.0
51.0,Nevada,71.0,23000.0
,National,59.6,1988000.0
