Rank,State,%,#
1,Minnesota,39.7,"12,000"
2,Maine,38.7,"3,000"
3,New Hampshire,38.3,"3,000"
4,Massachusetts,37.3,"14,000"
5,Ohio,33.0,"27,000"
6,Alaska,32.3,"1,000"
7,North Dakota,31.6,"1,000"
8,Colorado,31.4,"10,000"
9,Michigan,31.0,"20,000"
10,Rhode Island,29.5,"2,000"
11,Iowa,29.4,"6,000"
12,Oregon,29.4,"8,000"
13,Illinois,29.3,"23,000"
14,Pennsylvania,28.7,"21,000"
15,Vermont,28.1,"1,000"
16,Maryland,28.0,"10,000"
17,West Virginia,28.0,"3,000"
18,New York,27.2,"27,000"
19,Missouri,26.7,"10,000"
20,Kansas,26.5,"4,000"
21,South Dakota,26.5,"1,000"
22,Delaware,26.2,"1,000"
23,Arkansas,26.1,"5,000"
24,Oklahoma,25.8,"6,000"
25,Connecticut,25.6,"5,000"
27,North Carolina,25.5,"15,000"
28,Washington,24.5,"12,000"
29,California,23.9,"55,000"
30,Indiana,23.7,"11,000"
31,New Mexico,23.5,"3,000"
32,Utah,23.1,"5,000"
33,Wisconsin,23.0,"9,000"
34,Alabama,22.7,"5,000"
35,Louisiana,22.5,"5,000"
36,Arizona,22.3,"10,000"
37,Florida,21.7,"26,000"
38,Montana,21.5,"1,000"
39,Nebraska,21.4,"2,000"
40,Wyoming,21.0,"1,000"
41,Virginia,20.4,"11,000"
42,Idaho,19.5,"2,000"
43,Hawaii,18.8,"1,000"
44,Kentucky,18.4,"4,000"
45,Nevada,16.0,"3,000"
46,District of Columbia,15.9,0
47,Texas,14.3,"25,000"
48,Georgia,12.9,"6,000"
49,Mississippi,12.8,"2,000"
50,Tennessee,12.4,"4,000"
51,South Carolina,12.2,"3,000"
