Rank_youth_someMH_2020,State_youth_someMH_2020,%_youth_someMH_2020,#_youth_someMH_2020
1.0,Maryland,53.90%,"23,000"
2.0,Rhode Island,48.30%,"3,000"
3.0,Wisconsin,47.60%,"22,000"
4.0,Massachusetts,46.00%,"22,000"
5.0,Maine,41.30%,"4,000"
6.0,New Hampshire,39.70%,"3,000"
7.0,District of Columbia,38.10%,"1,000"
8.0,Ohio,37.10%,"32,000"
9.0,Missouri,36.70%,"19,000"
10.0,Iowa,36.60%,"6,000"
11.0,Idaho,36.00%,"6,000"
12.0,North Dakota,35.90%,"1,000"
13.0,Arkansas,35.40%,"7,000"
14.0,Connecticut,35.40%,"9,000"
15.0,Louisiana,34.20%,"9,000"
16.0,Arizona,33.20%,"14,000"
17.0,New Mexico,32.60%,"5,000"
18.0,Pennsylvania,32.30%,"23,000"
19.0,Alaska,31.40%,"2,000"
20.0,New Jersey,30.40%,"13,000"
21.0,Michigan,29.20%,"19,000"
22.0,Oregon,29.20%,"10,000"
23.0,Hawaii,29.00%,"2,000"
24.0,South Dakota,28.80%,"1,000"
25.0,Virginia,28.30%,"15,000"
26.0,Indiana,27.80%,"14,000"
27.0,California,27.50%,"68,000"
28.0,West Virginia,27.50%,"4,000"
29.0,Illinois,27.40%,"26,000"
30.0,Kentucky,27.20%,"5,000"
31.0,New York,27.20%,"26,000"
32.0,Delaware,27.00%,"1,000"
33.0,Colorado,25.60%,"8,000"
34.0,Vermont,25.50%,"1,000"
35.0,Utah,25.10%,"8,000"
36.0,Minnesota,24.80%,"10,000"
37.0,Montana,24.70%,"2,000"
38.0,Tennessee,23.80%,"11,000"
39.0,Florida,23.60%,"31,000"
40.0,Texas,23.50%,"48,000"
41.0,Oklahoma,22.70%,"6,000"
42.0,Alabama,21.20%,"6,000"
43.0,Nebraska,20.70%,"2,000"
44.0,Kansas,20.10%,"3,000"
45.0,Georgia,20.00%,"13,000"
46.0,Nevada,18.00%,"5,000"
47.0,Mississippi,17.70%,"2,000"
48.0,North Carolina,17.00%,"12,000"
49.0,Wyoming,16.40%,"1,000"
50.0,Washington,15.80%,"8,000"
51.0,South Carolina,13.50%,"4,000"
,National,28.2,"599,000"
