Rank_youth_someMH_2021,State,%_youth_someMH_2021,#_youth_someMH_2021
1,Maine,50.0,5000.0
2,Maryland,49.2,21000.0
3, Vermont,45.4,2000.0
4,Delaware,41.5,2000.0
5,Rhode Island,41.2,3000.0
6,Wisconsin,40.4,23000.0
7,Oregon,37.9,14000.0
8,Massachusetts,37.7,15000.0
9,District of Columbia,37.3,1000.0
10,Pennsylvania,37.1,23000.0
11,Wyoming,36.3,2000.0
12,Ohio,36.0,28000.0
13,Nebraska,35.9,5000.0
14,Idaho,35.8,6000.0
15,New Hampshire,34.9,3000.0
16,Kentucky,34.2,10000.0
17,Minnesota,33.7,13000.0
18,North Dakota,33.0,1000.0
19,New Jersey,32.5,16000.0
20,Louisiana,32.0,9000.0
21,Kansas,31.1,7000.0
22,Arkansas,30.0,7000.0
23,Alaska,29.9,2000.0
24,Michigan,29.8,24000.0
25,Montana,29.3,2000.0
26,South Dakota,29.2,1000.0
27.0,Iowa,28.8,7000.0
28.0,South Carolina,28.3,9000.0
29.0,Hawaii,28.3,2000.0
30.0,West Virginia,27.8,4000.0
31.0,Tennessee,27.3,12000.0
32.0,Washington,26.7,13000.0
33.0,Indiana,26.1,16000.0
34.0,Virginia,26.1,16000.0
35.0,Alabama,25.9,6000.0
36.0,Texas,25.0,54000.0
37.0,Illinois,25.0,26000.0
38.0,Arizona,24.7,15000.0
39.0,California,24.6,59000.0
40.0,Utah,24.5,8000.0
41.0,Oklahoma,23.5,8000.0
42.0,New Mexico,22.6,5000.0
43.0,New York,21.9,22000.0
44.0,North Carolina,21.9,21000.0
45.0,Connecticut,21.6,5000.0
46.0,Colorado,21.5,8000.0
47.0,Florida,19.7,24000.0
48.0,Georgia,19.2,
49.0,Missouri,19.0,9000.0
50.0,Mississippi,14.9,2000.0
51.0,Nevada,11.2,3000.0
,National,27.3,614000.0
