Rank,State,%,#
1.0,Pennsylvania,3.55,"33,000"
2.0,Virginia,3.71,"23,000"
3.0,Georgia,3.74,"32,000"
4.0,New Jersey,3.83,"27,000"
5.0,Alabama,3.87,"15,000"
6.0,Mississippi,3.87,"9,000"
7.0,Maryland,3.98,"18,000"
8.0,Tennessee,4.04,"21,000"
9.0,Kentucky,4.1,"14,000"
10.0,North Carolina,4.13,"32,000"
11.0,Utah,4.16,"12,000"
12.0,Arkansas,4.16,"10,000"
13.0,Indiana,4.23,"23,000"
14.0,Hawaii,4.28,"4,000"
15.0,Ohio,4.29,"39,000"
16.0,South Carolina,4.29,"16,000"
17.0,Florida,4.3,"60,000"
18.0,Delaware,4.32,"3,000"
19.0,Louisiana,4.34,"16,000"
20.0,Oklahoma,4.35,"14,000"
21.0,Nebraska,4.43,"7,000"
22.0,Missouri,4.44,"21,000"
23.0,New York,4.46,"63,000"
24.0,Texas,4.54,"109,000"
25.0,Massachusetts,4.54,"22,000"
26.0,New Hampshire,4.56,"4,000"
27.0,Michigan,4.75,"37,000"
28.0,Iowa,4.78,"12,000"
29.0,Kansas,4.88,"12,000"
30.0,Minnesota,5.0,"21,000"
31.0,West Virginia,5.0,"6,000"
32.0,Connecticut,5.0,"14,000"
33.0,Maine,5.02,"5,000"
34.0,California,5.07,"154,000"
35.0,Wisconsin,5.16,"23,000"
36.0,Illinois,5.21,"53,000"
37.0,Idaho,5.39,"8,000"
38.0,Vermont,5.41,"2,000"
39.0,North Dakota,5.43,"3,000"
40.0,Washington,5.43,"29,000"
41.0,Nevada,5.45,"12,000"
42.0,Arizona,5.62,"31,000"
43.0,Rhode Island,5.62,"4,000"
44.0,District of Columbia,5.72,"2,000"
45.0,South Dakota,5.78,"4,000"
46.0,Oregon,5.98,"17,000"
47.0,Wyoming,6.37,"3,000"
48.0,Montana,6.39,"5,000"
49.0,Colorado,6.73,"28,000"
50.0,New Mexico,7.15,"12,000"
51.0,Alaska,8.33,"5,000"
,National,4.61,"1,148,000"
