Rank State,%,"#",Rank,State,%,"#"
1 Vermont,42.8,"45,000",27,Montana,54.2,"89,000"
2 Arkansas,47.5,"221,000",28,Virginia,54.5,"589,000"
"",,,,,,
3 Rhode Island,49.0,"89,000",29,North Dakota,54.5,"56,000"
4 Wisconsin,49.2,"412,000",30,South Dakota,54.8,"57,000"
5 Massachusetts,49.5,"597,000",31,Missouri,55.3,"576,000"
6 Delaware,49.7,"75,000",32,Illinois,55.8,"946,000"
7 Iowa,49.8,"231,000",33,Indiana,55.9,"653,000"
8 Maine,49.9,"114,000",34,North Carolina,56.5,"833,000"
"",,,,,,
9 Ohio,50.7,"978,000",35,New Mexico,56.6,"167,000"
10 Kentucky,50.9,"392,000",36,Alabama,56.7,"463,000"
11 Colorado,50.9,"475,000",37,Mississippi,57.7,"247,000"
12 Kansas,51.1,"213,000",38,Oklahoma,58.9,"340,000"
13 Utah,51.2,"294,000",39,Maryland,59.1,"459,000"
14 South Carolina,51.4,"349,000",40,Oregon,59.3,"442,000"
15 Tennessee,51.7,"463,000",41,Tex as,59.6,"1,960,000"
16 New Hampshire,51.9,"116,000",42,New Jersey,60.0,"644,000"
17 West Virginia,52.2,"193,000",43,New York,60.3,"1,655,000"
18 District of Columbia,52.2,"68,000",44,Nevada,60.3,"282,000"
19 Minnesota,52.6,"416,000",45,Louisiana,62.0,"459,000"
20 Arizona,52.7,"535,000",46,Florida,63.0,"1,816,000"
21 Pennsylvania,53.0,"953,000",47,Wyoming,64.8,"60,000"
22 Nebraska,53.0,"128,000",48,Georgia,64.9,"888,000"
23 Washington,53.5,"704,000",49,California,65.0,"3,620,000"
24 Idaho,53.5,"177,000",50,Alaska,65.5,"70,000"
25 Michigan,53.8,"779,000",51,Hawaii,65.8,"124,000"
26 Connecticut,53.9,"287,000",,National,57.0,"26,797,000"
Over 26 million individuals
experiencing a mental illness
are going untreated.
