Rank,State,%,"#",Rank,State,%,"#"
1,New Jersey,3.41,"235,000",27,South Dakota,4.40,"28,000"
"",,,,,,,
2,Florida,3.49,"569,000",28,Tennessee,4.50,"228,000"
3,New York,3.68,"568,000",29,Minnesota,4.52,"190,000"
4,Texas,3.72,"754,000",30,Ohio,4.56,"404,000"
5,Illinois,3.87,"376,000",31,North Dakota,4.57,"26,000"
6,Alabama,3.89,"144,000",32,North Carolina,4.57,"352,000"
7,Michigan,3.99,"306,000",33,Massachusetts,4.57,"247,000"
8,Maine,3.99,"43,000",34,Arkansas,4.59,"103,000"
"",,,,,,,
9,Maryland,4.00,"184,000",35,Wisconsin,4.60,"204,000"
10,Mississippi,4.01,"88,000",36,Nevada,4.62,"104,000"
11,New Mexico,4.01,"63,000",37,Iowa,4.69,"111,000"
12,Arizona,4.02,"211,000",38,Kentucky,4.71,"158,000"
13,Missouri,4.04,"186,000",39,West Virginia,4.75,"68,000"
14,California,4.04,"1,205,000",40,Rhode Island,4.78,"40,000"
15,Nebraska,4.05,"57,000",41,Kansas,4.87,"104,000"
"",,,,,,,
16,Connecticut,4.05,"113,000",42,New Hampshire,4.89,"52,000"
17,Hawaii,4.08,"43,000",43,Montana,4.91,"39,000"
18,Oklahoma,4.10,"118,000",44,Indiana,5.04,"251,000"
19,District of Columbia,4.11,"23,000",45,Washington,5.06,"283,000"
20,South Carolina,4.11,"156,000",46,Oregon,5.18,"166,000"
21,Delaware,4.16,"31,000",47,Vermont,5.31,"27,000"
22,Virginia,4.20,"268,000",48,Alaska,5.34,"28,000"
23,Louisiana,4.25,"147,000",49,Colorado,5.41,"229,000"
24,Pennsylvania,4.28,"426,000",50,Idaho,5.60,"70,000"
25,Georgia,4.38,"336,000",51,Utah,5.99,"128,000"
26,Wyoming,4.39,"19,000",,National,4.19,"10,308,000"
The percentage of adults
reporting serious thoughts of
suicide is 4.19 percent. The
estimated number of adults with
serious suicidal thoughts is over
