Rank,State,%,"#",Rank,State,%,"#"
1,Hawaii,12.0,"23,000",27,Alaska,24.4,"26,000"
2,Alabama,18.7,"153,000",28,Kentucky,24.5,"189,000"
3,Texas,19.9,"655,000",29,Montana,24.6,"41,000"
4,Wyoming,19.9,"18,000",30,Maine,24.8,"57,000"
5,Minnesota,20.7,"163,000",31,New Hampshire,24.8,"55,000"
6,New Mexico,20.8,"61,000",32,Wisconsin,24.9,"209,000"
7,Tennessee,20.9,"188,000",33,Maryland,25.2,"196,000"
8,Louisiana,21.0,"155,000",34,Connecticut,25.4,"135,000"
9,New York,21.4,"585,000",35,Iowa,25.5,"117,000"
10,Massachusetts,21.6,"263,000",36,Arizona,25.8,"259,000"
11,Florida,21.9,"633,000",37,Arkansas,26.0,"122,000"
12,Ohio,22.1,"427,000",38,Missouri,26.1,"272,000"
13,Idaho,22.1,"73,000",39,Nevada,26.1,"122,000"
14,Vermont,22.5,"24,000",40,Nebraska,26.2,"63,000"
15,California,22.8,"1,272,000",41,South Dakota,26.4,"28,000"
16,Illinois,22.9,"388,000",42,North Carolina,26.5,"391,000"
17,West Virginia,22.9,"84,000",43,South Carolina,26.6,"181,000"
18,Delaware,23.0,"35,000",44,Pennsylvania,26.8,"480,000"
19,Georgia,23.1,"317,000",45,Rhode Island,27.9,"50,000"
20,North Dakota,23.3,"24,000",46,Colorado,28.2,"263,000"
21,Oklahoma,23.5,"136,000",47,Virginia,28.6,"309,000"
22,Washington,23.7,"310,000",48,District of Columbia,29.4,"38,000"
23,Mississippi,23.8,"102,000",49,Utah,30.1,"172,000"
24,Indiana,23.9,"281,000",50,Oregon,30.2,"225,000"
25,Michigan,24.4,"353,000",51,Kansas,31.6,"132,000"
26,New Jersey,24.4,"262,000",,National,23.6,"11,119,000"
