"",Rank,State,"#"
"",1,Massachusetts,160:1
"",2,Oregon,190:1
"",3,District of Columbia,210:1
"",4,Maine,210:1
"",5,Vermont,220:1
"",6,Alaska,230:1
"",7,Rhode Island,240:1
"",8,Connecticut,250:1
"",9,Oklahoma,250:1
"",10,New Mexico,260:1
"",11,Washington,270:1
"",12,California,280:1
"",13,Colorado,280:1
"",14,Utah,300:1
"",15,Wyoming,300:1
"",16,Montana,330:1
"",17,New Hampshire,330:1
"",18,Louisiana,340:1
The state rate of mental health,,,
"",19,New York,350:1
workforce ranges from:,20,Michigan,370:1
"",21,Delaware,380:1
160:1 (MA)  990:1 (AL),,,
"",22,Nebraska,380:1
Ranked 1-13 Ranked 39-51,,,
"",23,Maryland,390:1
"",24,Hawaii,400:1
"",25,Minnesota,400:1
"",26,North Carolina,410:1
"",27,Ohio,410:1
"The term “mental health provider” includes psychiatrists, psychologists,",,,
"",28,Arkansas,440:1
"licensed clinical social workers, counselors, marriage and family therapists,",,,
"",29,Illinois,440:1
"and advanced practice nurses specializing in mental health care, but not",,,
"",30,Kentucky,440:1
yet certified peer specialists (because peer specialists are primarily covered,,,
"",31,New Jersey,450:1
"only by Medicaid, and qualifications for them vary by state).",,,
"",32,Nevada,470:1
"",33,Idaho,480:1
The rate of mental health providers has improved in nearly every state,34,Pennsylvania,480:1
"since last year’s report. However, the need for mental health care will",35,Wisconsin,490:1
"greatly outpace these additions to the workforce, especially as rates of",36,Kansas,510:1
"depression, anxiety and other mental health concerns increase in response",37,Missouri,510:1
to the coronavirus pandemic and increased awareness of ongoing racial,38,North Dakota,530:1
injustice in 2020.,39,South Dakota,550:1
"",40,South Carolina,570:1
"However, the COVID-19 pandemic has also shown that these workforce",41,Virginia,570:1
shortages can be mitigated through different models of care delivery. The,42,Florida,620:1
"",43,Indiana,620:1
Center for Medicare and Medicaid Services (CMS) encouraged states to,,,
"",44,Mississippi,630:1
"reduce barriers to tele-mental health under Medicaid, and Medicare",,,
"",45,Iowa,640:1
allowed audio-only tele-mental health visits during the pandemic. If these,,,
"",46,Tennessee,660:1
changes to care delivery be made permanent and coverage for peer,,,
"",47,Georgia,730:1
"support specialists and other paraprofessionals is expanded, these could",,,
"",48,Arizona,750:1
help mitigate some of the effects of provider shortages in the future.,49,West Virginia,770:1
"",50,Texas,880:1
"",51,Alabama,990:1
