Rank,State,%,"#",Rank,State,%,"#"
1,New Jersey,16.19,"1,115,000",27,Mississippi,19.04,"420,000"
2,Hawaii,16.27,"173,000",28,Louisiana,19.11,"663,000"
3,Texas,16.32,"3,309,000",29,New Hampshire,19.15,"203,000"
4,Illinois,16.76,"1,627,000",30,Tennessee,19.24,"977,000"
5,Maryland,16.94,"778,000",31,Rhode Island,19.59,"164,000"
6,Florida,17.54,"2,861,000",32,Kansas,19.71,"421,000"
7,New York,17.61,"2,713,000",33,Montana,19.78,"159,000"
8,South Dakota,17.70,"113,000",34,Vermont,19.84,"99,000"
9,New Mexico,17.73,"276,000",35,Ohio,19.85,"1,759,000"
10,Nebraska,17.88,"252,000",36,Colorado,19.86,"838,000"
11,Pennsylvania,17.98,"1,786,000",37,Alabama,19.95,"737,000"
12,North Carolina,18.02,"1,387,000",38,Oklahoma,20.02,"578,000"
13,Arizona,18.02,"944,000",39,Missouri,20.05,"925,000"
14,Georgia,18.07,"1,385,000",40,Wyoming,20.25,"88,000"
15,California,18.18,"5,419,000",41,Alaska,20.32,"107,000"
16,Connecticut,18.18,"506,000",42,Massachusetts,20.57,"1,109,000"
17,Minnesota,18.21,"765,000",43,Arkansas,20.73,"464,000"
18,North Dakota,18.30,"103,000",44,Indiana,20.90,"1,041,000"
19,Michigan,18.34,"1,405,000",45,District of Columbia,21.17,"117,000"
"",,,,,,,
20,Wisconsin,18.54,"822,000",46,Kentucky,22.29,"747,000"
21,South Carolina,18.56,"704,000",47,Washington,22.81,"1,277,000"
22,Delaware,18.65,"138,000",48,West Virginia,22.89,"326,000"
23,Virginia,18.78,"1,195,000",49,Utah,23.47,"500,000"
24,Nevada,18.87,"424,000",50,Oregon,23.59,"757,000"
25,Maine,19.01,"203,000",51,Idaho,25.03,"310,000"
26,Iowa,19.02,"450,000",,National,18.57,"45,641,000"
