Rank,State,%,"#",Rank,State,%,"#"
1,Mississippi,6.0,"14,000",27,Virginia,9.1,"55,000"
2,North Dakota,6.0,"3,000",28,Montana,9.2,"7,000"
3,Kentucky,6.3,"21,000",29,Alaska,9.3,"5,000"
4,Delaware,6.6,"4,000",30,North Carolina,9.8,"75,000"
5,Iowa,6.9,"17,000",31,Ohio,9.9,"87,000"
6,New Jersey,7.0,"47,000",32,Florida,10.0,"137,000"
"",,,,,,,
7,South Dakota,7.3,"5,000",33,Maryland,10.0,"43,000"
8,Louisiana,7.5,"27,000",34,Illinois,10.1,"98,000"
9,New York,7.5,"102,000",35,Wyoming,10.1,"4,000"
10,Georgia,7.7,"65,000",36,Connecticut,10.2,"27,000"
11,Nebraska,7.7,"12,000",37,Rhode Island,10.2,"7,000"
12,Kansas,7.8,"18,000",38,Indiana,10.4,"54,000"
13,District of Columbia,7.9,"2,000",39,Tennessee,10.4,"52,000"
"",,,,,,,
14,Alabama,8.1,"29,000",40,Massachusetts,10.5,"50,000"
15,Vermont,8.2,"3,000",41,Minnesota,10.5,"44,000"
16,Colorado,8.3,"35,000",42,New Mexico,10.5,"17,000"
17,New Hampshire,8.3,"8,000",43,Utah,10.7,"31,000"
18,Arkansas,8.4,"19,000",44,Washington,10.7,"56,000"
19,Oklahoma,8.4,"26,000",45,Wisconsin,10.8,"47,000"
20,Pennsylvania,8.6,"77,000",46,Missouri,11.3,"51,000"
"",,,,,,,
21,California,8.8,"258,000",47,West Virginia,11.3,"14,000"
22,Arizona,8.9,"47,000",48,Idaho,11.7,"17,000"
23,South Carolina,8.9,"32,000",49,Oregon,12.7,"36,000"
24,Hawaii,9.0,"8,000",50,Maine,13.1,"12,000"
25,Texas,9.0,"211,000",51,Nevada,13.2,"28,000"
26,Michigan,9.1,"68,000",,National,9.2,"2,217,000"
