Rank,State,%,"#",Rank,State,%,"#"
"",,,,,,,
1,Rhode Island,39.5,"4,000",27,Delaware,57.3,"4,000"
2,Connecticut,43.9,"16,000",28,New Jersey,57.8,"40,000"
3,Wisconsin,44.3,"27,000",29,Hawaii,57.9,"6,000"
4,Maine,45.3,"7,000",30,Missouri,59.0,"45,000"
5,North Dakota,46.7,"2,000",31,Washington,59.1,"40,000"
"",,,,,,,
6,Minnesota,47.5,"27,000",32,Iowa,59.8,"20,000"
7,Ohio,48.6,"63,000",33,Michigan,59.8,"64,000"
8,District of Columbia,48.7,"1,000",34,Arizona,60.2,"38,000"
9,Virginia,51.3,"44,000",35,Arkansas,61.3,"19,000"
10,Maryland,52.5,"33,000",36,Nevada,61.4,"22,000"
11,Louisiana,52.7,"18,000",37,New Mexico,61.4,"16,000"
12,Utah,53.8,"24,000",38,Kentucky,62.0,"19,000"
13,Pennsylvania,53.9,"59,000",39,Wyoming,62.5,"4,000"
14,West Virginia,54.2,"10,000",40,Montana,63.2,"6,000"
15,Massachusetts,54.5,"38,000",41,Mississippi,63.7,"16,000"
16,New Hampshire,54.7,"7,000",42,California,63.9,"245,000"
17,Indiana,54.8,"40,000",43,Texas,65.4,"180,000"
18,New York,55.1,"83,000",44,Alaska,65.6,"5,000"
19,Vermont,55.3,"3,000",45,Oklahoma,65.8,"28,000"
20,Colorado,55.6,"30,000",46,Alabama,67.5,"26,000"
21,Oregon,55.6,"27,000",47,Kansas,70.8,"22,000"
22,Idaho,55.7,"13,000",48,Georgia,70.9,"67,000"
23,South Dakota,55.7,"4,000",49,Nebraska,71.3,"14,000"
24,Illinois,56.1,"80,000",50,South Carolina,73.7,"33,000"
25,Tennessee,57.0,"37,000",51,North Carolina,74.3,"68,000"
26,Florida,57.2,"106,000",,National,59.0,"1,848,000"
