Rank,State,%,"#",Rank,State,%,"#"
1,Maryland,53.90%,"23,000",27,California,27.50%,"68,000"
2,Rhode Island,48.30%,"3,000",28,West Virginia,27.50%,"4,000"
3,Wisconsin,47.60%,"22,000",29,Illinois,27.40%,"26,000"
4,Massachusetts,46.00%,"22,000",30,Kentucky,27.20%,"5,000"
5,Maine,41.30%,"4,000",31,New York,27.20%,"26,000"
6,New Hampshire,39.70%,"3,000",32,Delaware,27.00%,"1,000"
7,District of Columbia,38.10%,"1,000",33,Colorado,25.60%,"8,000"
8,Ohio,37.10%,"32,000",34,Vermont,25.50%,"1,000"
9,Missouri,36.70%,"19,000",35,Utah,25.10%,"8,000"
10,Iowa,36.60%,"6,000",36,Minnesota,24.80%,"10,000"
11,Idaho,36.00%,"6,000",37,Montana,24.70%,"2,000"
12,North Dakota,35.90%,"1,000",38,Tennessee,23.80%,"11,000"
13,Arkansas,35.40%,"7,000",39,Florida,23.60%,"31,000"
14,Connecticut,35.40%,"9,000",40,Texas,23.50%,"48,000"
15,Louisiana,34.20%,"9,000",41,Oklahoma,22.70%,"6,000"
16,Arizona,33.20%,"14,000",42,Alabama,21.20%,"6,000"
17,New Mexico,32.60%,"5,000",43,Nebraska,20.70%,"2,000"
18,Pennsylvania,32.30%,"23,000",44,Kansas,20.10%,"3,000"
19,Alaska,31.40%,"2,000",45,Georgia,20.00%,"13,000"
20,New Jersey,30.40%,"13,000",46,Nevada,18.00%,"5,000"
21,Michigan,29.20%,"19,000",47,Mississippi,17.70%,"2,000"
22,Oregon,29.20%,"10,000",48,North Carolina,17.00%,"12,000"
23,Hawaii,29.00%,"2,000",49,Wyoming,16.40%,"1,000"
"",,,,,,,
24,South Dakota,28.80%,"1,000",50,Washington,15.80%,"8,000"
25,Virginia,28.30%,"15,000",51,South Carolina,13.50%,"4,000"
26,Indiana,27.80%,"14,000",,National,28.2,"599,000"
