Rank State,%,"#",Rank,State,%,"#"
1 Maine,50.0,"5,000",27,Iowa,28.8,"7,000"
2 Maryland,49.2,"21,000",28,South Carolina,28.3,"9,000"
3  Vermont,45.4,"2,000",29,Hawaii,28.3,"2,000"
4 Delaware,41.5,"2,000",30,West Virginia,27.8,"4,000"
5 Rhode Island,41.2,"3,000",31,Tennessee,27.3,"12,000"
6 Wisconsin,40.4,"23,000",32,Washington,26.7,"13,000"
7 Oregon,37.9,"14,000",33,Indiana,26.1,"16,000"
8 Massachusetts,37.7,"15,000",34,Virginia,26.1,"16,000"
9 District of Columbia,37.3,"1,000",35,Alabama,25.9,"6,000"
10 Pennsylvania,37.1,"23,000",36,Texas,25.0,"54,000"
11 Wyoming,36.3,"2,000",37,Illinois,25.0,"26,000"
12 Ohio,36.0,"28,000",38,Arizona,24.7,"15,000"
13 Nebraska,35.9,"5,000",39,California,24.6,"59,000"
14 Idaho,35.8,"6,000",40,Utah,24.5,"8,000"
15 New Hampshire,34.9,"3,000",41,Oklahoma,23.5,"8,000"
16 Kentucky,34.2,"10,000",42,New Mexico,22.6,"5,000"
17 Minnesota,33.7,"13,000",43,New York,21.9,"22,000"
18 North Dakota,33.0,"1,000",44,North Carolina,21.9,"21,000"
"",,,,,,
19 New Jersey,32.5,"16,000",45,Connecticut,21.6,"5,000"
20 Louisiana,32.0,"9,000",46,Colorado,21.5,"8,000"
21 Kansas,31.1,"7,000",47,Florida,19.7,"24,000"
"15,000  22 Arkansas",30.0,"7,000",48,Georgia,19.2,
23 Alaska,29.9,"2,000",49,Missouri,19.0,"9,000"
24 Michigan,29.8,"24,000",50,Mississippi,14.9,"2,000"
25 Montana,29.3,"2,000",51,Nevada,11.2,"3,000"
26 South Dakota,29.2,"1,000",,National,27.3,"614,000"
